"'title'","'href'","'artist"'
"'Fais comme l'oiseau'","'/track/4r5GDJ5lREvWNK9mSP9nRN'","'Michel Fugain & Le Big Bazar"'
"'Attention Mesdames et Messieurs'","'/track/1v7ctPkzk1G3LXNhisLpvO'","'Michel Fugain & Le Big Bazar"'
"'Une belle histoire'","'/track/5oxKrYimzs8AZp8lkoar6V'","'Michel Fugain & Le Big Bazar"'
"'Il y a du soleil sur la France (Live)'","'/track/6b9Fy4K7zMFdhaVX8wMcgn'","'Stone & Charden"'
"'Made in Normandie (Live)'","'/track/5ev7Kaalqv9l2zAKrewJVH'","'Stone & Charden"'
"'L'avventura'","'/track/3pvldjUliQDsYkfsKWFjYI'","'Stone & Charden"'
"'The Boy Is Mine'","'/track/6sHsXIJoEN5JpdkGMQDJxt'","'Brandy"'
"'Je viens dîner ce soir'","'/track/6lwypcbkt0dUL5IZpaMTH7'","'Claude François"'
"'J'attendrai'","'/track/6yPVqp3Nt2mFzvdExaIWP9'","'Claude François"'
"'Le lundi au soleil'","'/track/47IaFTwoFbuMJd2sL1ZfMt'","'Claude François"'
"'Les moulins de mon cœur'","'/track/1hB5gOQQv3SihLzWw4Gv4c'","'Claude François"'
"'Alexandrie Alexandra'","'/track/0VLXNg5Eoq6uv9Yn1Tz8WE'","'Claude François"'
"'Belles belles belles'","'/track/1Q6j1dx7pXzuLZLAexFWuQ'","'Claude François"'
"'Même si tu revenais'","'/track/5Cx0tQSHJp1sy8ZvT0z6hy'","'Claude François"'
"'Chanson populaire (Ça s'en va et ça revient)'","'/track/6xuxkfM6waS1sCubmjJtCl'","'Claude François"'
"'Comme d'habitude'","'/track/11FBMKhiuYT4doKhC4p3i6'","'Claude François"'
"'Si j'avais un marteau'","'/track/3Dv66cTMtYtWNI6c0vxKjp'","'Claude François"'
"'She's A Lady'","'/track/5JnHzjo25FY1fMQMQVOawB'","'Tom Jones"'
"'Sexbomb'","'/track/7GHKA8GIMcND6c5nN1sFnD'","'Tom Jones"'
"'It's Not Unusual'","'/track/3TlIt0ReIxPsVZcOEivT5U'","'Tom Jones"'
"'Wherever You Will Go'","'/track/5QpaGzWp0hwB5faV8dkbAz'","'The Calling"'
"'Toute première fois'","'/track/4SHIlbYaTolnXdAFAcHGY7'","'Jeanne Mas"'
"'Johnny, Johnny'","'/track/1QdFzktmKiB9IK96EAQfl8'","'Jeanne Mas"'
"'Girl, You'll Be a Woman Soon'","'/track/1mSzuXVjjKC0bPh6iG6xjy'","'Urge Overkill"'
"'Love Of My Life - Remastered 2011'","'/track/4YJUTdZ0Pgl0ZeNyHYXeLd'","'Queen"'
"'Against the Wind'","'/track/3Q3R4fUAI7Lz1PEowFjK11'","'The Highwaymen"'
"'Hit the Road Jack'","'/track/5dUMh0ugelpKfoFp3qChuK'","'Ray Charles"'
"'Let The Music Play - Single Version'","'/track/75pBjCi8cxfkp4xd68uo6O'","'Barry White"'
"'Can't Get Enough Of Your Love, Babe'","'/track/3mWpUEBYnv9SIFWfixSJFx'","'Barry White"'
"'Copacabana (At the Copa)'","'/track/5FMXrphygZ4z3gVDHGWxgl'","'Barry Manilow"'
"'Never, Never Gonna Give Ya Up'","'/track/3pepZAOvUCBt3qWi9Ax6Aq'","'Barry White"'
"'Let's Stay Together'","'/track/63xdwScd1Ai1GigAwQxE8y'","'Al Green"'
"'My Girl'","'/track/745H5CctFr12Mo7cqa1BMH'","'The Temptations"'
"'For Once In My Life'","'/track/4kP69y3GKHi9tXckfgp4bK'","'Stevie Wonder"'
"'Spooky'","'/track/3MtP9T0WF4xbIo8vqHYeXM'","'Dusty Springfield"'
"'I Can't Go for That (No Can Do)'","'/track/41dDygR3r7e926oGUXfrLt'","'Daryl Hall & John Oates"'
"'Young Hearts Run Free'","'/track/3MFa9idQuY4iJLWsZl3tIQ'","'Candi Staton"'
"'Your Love Is King'","'/track/7erXAfnatmoUow8DnbseOY'","'Sade"'
"'Evil Woman'","'/track/6HYhjWxB0UK1VJNyi7M8ZC'","'Electric Light Orchestra"'
"'Ain't No Sunshine'","'/track/1k1Bqnv2R0uJXQN4u6LKYt'","'Bill Withers"'
"'I Heard It Through The Grapevine'","'/track/1tqT6DhmsrtQgyCKUwotiw'","'Marvin Gaye"'
"'Easy'","'/track/1JQ6Xm1JrvHfvAqhl5pwaA'","'Commodores"'
"'It's Too Late'","'/track/12q3V8ShACq2PSWINMc2rC'","'Carole King"'
"'Me and Mrs. Jones'","'/track/6Ro2z4RtAUew9Kz2HZWZUi'","'Billy Paul"'
"'(Sittin' On) the Dock of the Bay'","'/track/3zBhihYUHBmGd2bcQIobrF'","'Otis Redding"'
"'Midnight Train to Georgia'","'/track/7MF7QAodbGzNYav5ZfIhAY'","'Gladys Knight & The Pips"'
"'Deliver Your Children - Remastered 1993'","'/track/2xX5jloU4GKDbUhsM0YNku'","'Wings"'
"'With A Little Luck - Remastered 1993'","'/track/0wLpW3AwfNicWHef8joJLb'","'Wings"'
"'Children Children - Remastered 1993'","'/track/33r8WecwIDTYHEAsHlxMVZ'","'Wings"'
"'Listen To What The Man Said - 2014 Remaster'","'/track/0SkpjIqhANcC2QQu8DIuwG'","'Wings"'
"'Magneto And Titanium Man - Remastered 2014'","'/track/3KrepKtDyPoP8I1t7BpDSw'","'Wings"'
"'Venus And Mars - Remastered 2014'","'/track/1hVl3NtSqi6LXZ7pXxHPrC'","'Wings"'
"'Band On The Run'","'/track/0wqM8Flc5YaWwZoFBMz3zk'","'Paul McCartney"'
"'My Love'","'/track/7JwbbjiEiHaDD40aYssV0j'","'Wings"'
"'With A Little Luck'","'/track/4e7HJXoesmfRboLc3pYGTS'","'Wings"'
"'Live And Let Die'","'/track/6AbaUu4XtHu7pGkPE94Tat'","'Wings"'
"'Silly Love Songs'","'/track/4e6dQEZSQjUdAABxLHeQTV'","'Wings"'
"'I've Been Waiting for a Girl Like You'","'/track/1Yxl2MOB2bP28tuhaN2jHy'","'Lexington Lab Band"'
"'It Only Takes A Minute'","'/track/1MsGqB0znDhfwSGfJrUBkl'","'Tavares"'
"'More Than A Woman - Remastered'","'/track/4pHjt1Hs1ghsey8dHnViYX'","'Tavares"'
"'Heaven Must Be Missing An Angel - Pt. 1'","'/track/7qQzkUWsbvoTDbNpW3FHQu'","'Tavares"'
"'Mr. Bojangles - Single Version'","'/track/1DGaqkDcIYIBZSpW5vyoOL'","'Sammy Davis Jr."'
"'Both Sides Now'","'/track/3NW1YMA8kfNVTzGJCGBS8m'","'Joni Mitchell"'
